|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Mirror's Edge                                                            | EA Games                               | Xbox 360 | 2008 | NTSC (NA)
|       | MLB 2K12/NBA 2K12 Combo Pack                                             | 2K Sports                              | Xbox 360 | 2012 | NTSC (NA)
|       | MLB 2K13                                                                 | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | MLB Front Office Manager                                                 | 2K Sports                              | Xbox 360 | 2009 | NTSC (NA)
|       | Monopoly                                                                 | Electronic Arts                        | Xbox 360 | 2008 | NTSC (NA)
|       | Monopoly Streets                                                         | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | Monster High: New Ghoul in School                                        | Little Orbit                           | Xbox 360 | 2015 | NTSC (NA)
|       | Monster Jam                                                              | Activision                             | Xbox 360 | 2007 | NTSC (NA)
|       | Monster Jam: Path of Destruction                                         | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Monster Madness: Battle for Suburbia                                     | SouthPeak Games                        | Xbox 360 | 2007 | NTSC (NA)
|       | Monsters vs. Aliens                                                      | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | MorphX                                                                   | 505 Games                              | Xbox 360 | 2010 | NTSC (NA)
|       | Mortal Kombat                                                            | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | NTSC (NA)
|       | Mortal Kombat Komplete Edition                                           | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | Mortal Kombat vs. DC Universe                                            | Midway                                 | Xbox 360 | 2008 | NTSC (NA)
|       | Motion Explosion!                                                        | Majesco Games                          | Xbox 360 | 2011 | NTSC (NA)
|       | MotionSports                                                             | Ubisoft                                | Xbox 360 | 2010 | NTSC (NA)
|       | MotionSports Adrenaline                                                  | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | MotoGP '06                                                               | THQ                                    | Xbox 360 | 2006 | NTSC (NA)
|       | MotoGP '07                                                               | THQ                                    | Xbox 360 | 2007 | NTSC (NA)
|       | MotoGP 08                                                                | Capcom                                 | Xbox 360 | 2008 | NTSC (NA)
|       | MotoGP 09/10                                                             | Capcom                                 | Xbox 360 | 2010 | NTSC (NA)
|       | MotoGP 14                                                                | Bandai Namco Games                     | Xbox 360 | 2014 | NTSC (NA)
|       | MUD - FIM Motocross World Championship                                   | Namco Bandai Games                     | Xbox 360 | 2013 | NTSC (NA)
|       | Murdered: Soul Suspect                                                   | Square Enix                            | Xbox 360 | 2014 | NTSC (NA)
